open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1678932600000,24393.30000000,24393.30000000,24373.07287850,24373.91021158,0,1678932659999,0,60,0,0,0
1678932660000,24375.20000000,24381.60000000,24365.64432188,24368.84367044,0,1678932719999,0,60,0,0,0
1678932720000,24367.53732787,24367.53732787,24355.12590958,24355.12590958,0,1678932779999,0,60,0,0,0
1678932780000,24354.58468516,24373.47302769,24347.32584131,24373.30199070,0,1678932839999,0,60,0,0,0
1678932840000,24373.30199070,24381.55241537,24371.37363498,24380.33793324,0,1678932899999,0,60,0,0,0
1678932900000,24380.35112467,24386.36157192,24375.06604141,24377.55416694,0,1678932959999,0,60,0,0,0
1678932960000,24377.20000000,24393.57649571,24370.59038899,24392.83467589,0,1678933019999,0,60,0,0,0
1678933020000,24393.18546492,24394.12256265,24384.10000000,24386.62788125,0,1678933079999,0,60,0,0,0
1678933080000,24385.19492552,24386.14156435,24375.99813864,24384.68861445,0,1678933139999,0,60,0,0,0
1678933140000,24384.78589365,24386.45801759,24377.15807870,24384.40000000,0,1678933199999,0,60,0,0,0
1678933200000,24384.40000000,24384.45755985,24362.40000000,24369,0,1678933259999,0,60,0,0,0
1678933260000,24370.30000000,24378.85209118,24369.37106531,24378.17714388,0,1678933319999,0,60,0,0,0
1678933320000,24378.30000000,24391.70926160,24376.88122607,24391.40000000,0,1678933379999,0,60,0,0,0
1678933380000,24390,24415.50905902,24390,24415.50905902,0,1678933439999,0,60,0,0,0
1678933440000,24415.09238360,24417.99431959,24404.15335197,24407.45370454,0,1678933499999,0,60,0,0,0
1678933500000,24405.68199237,24419.34929845,24403.01022117,24419.34929845,0,1678933559999,0,60,0,0,0
1678933560000,24418.36821110,24422.77077895,24411.80000000,24420.59626814,0,1678933619999,0,60,0,0,0
1678933620000,24421.99445188,24435.77456372,24421.99445188,24431.30000000,0,1678933679999,0,60,0,0,0
1678933680000,24431.30000000,24435.20800983,24406.79563929,24406.79563929,0,1678933739999,0,60,0,0,0
1678933740000,24406.09795995,24414.02502674,24401.32383625,24414.02502674,0,1678933799999,0,60,0,0,0
1678933800000,24414.20000000,24414.67884126,24400,24401.80129249,0,1678933859999,0,60,0,0,0
1678933860000,24401.81930100,24410.56334019,24400.54785210,24403,0,1678933919999,0,60,0,0,0
1678933920000,24403,24405.50000000,24392.60000000,24405.40000000,0,1678933979999,0,60,0,0,0
